Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,,Firing,Time In ,Time Out,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Carbon Stock (t/ha): tons per hectare,Cumulative / 30cm depth,,,
Z.3.10,Seagrass,One Mile,Overlapping,,,,0,,0,0,,,,,2,628.3185307,73.046,0.1162563197,#DIV/0!,#DIV/0!,#DIV/0!,,,,
Z.3.20,Seagrass,One Mile,Overlapping,,,,0,,0,0,,,,,10,3141.592654,350.706,0.1116331869,#DIV/0!,#DIV/0!,#DIV/0!,,,,
Z.3.30,Seagrass,One Mile,Overlapping,,,,0,,0,0,,,,,10,3141.592654,384.376,0.1223506808,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
UB.1.2,Unveg,Myora,Nearby,11,17.57,42.01,24.44,,,,,,,,2,628.3185307,90.496,0.1440288573,100,52,149.7900116,,,,
UB.1.4,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,97.526,0.1552174498,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.1.6,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,64.636,0.102871389,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.1.8,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,102.596,0.1632866054,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.1.10,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,78.766,0.1253599825,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.1.20,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,401.426,0.1277778644,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.1.30,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,405.136,0.128958794,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.2,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,76.586,0.1218904047,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.4,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,93.47,0.1487621253,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.6,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,78.066,0.1242458979,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.8,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,83.866,0.1334768846,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.10,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,70.486,0.1121819532,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.20,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,376.406,0.119813751,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.2.30,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,405.006,0.1289174138,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.2,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,83.056,0.1321877295,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.4,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,89.566,0.1425487163,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.6,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,85.406,0.1359278707,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.8,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,74.746,0.1189619538,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.10,Unveg,Myora,Nearby,,,,0,,,,,,,,2,628.3185307,79.146,0.1259647713,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.20,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,372.126,0.1184513847,#DIV/0!,#DIV/0!,#DIV/0!,,,,
UB.3.30,Unveg,Myora,Nearby,,,,0,,,,,,,,10,3141.592654,384.126,0.1222711033,#DIV/0!,#DIV/0!,#DIV/0!,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,
