Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Carbon Stock (t/ha): tons per hectare,Cumulative / 30cm depth,,Constants,
U.3.8,Unveg,Adams,None,55,16.36,43.15,26.79,43.05,26.69,0.1,2,628.3185307,56.006,0.08913631743,0.3732736096,0.194102277,0.3460312435,,,,
U.3.10,Unveg,Adams,None,33,15.04,47.85,32.81,47.71,32.67,0.14,2,628.3185307,75.416,0.1200282919,0.4266991771,0.2218835721,0.5326461231,,,,
U.3.20,Unveg,Adams,None,54,15.33,37.14,21.81,36.97,21.64,0.17,10,3141.592654,344.066,0.1095196093,0.7794589638,0.4053186612,4.439034141,,,,
U.3.30,Unveg,Adams,None,A2,13.56,40.99,27.43,40.79,27.23,0.2,10,3141.592654,332.436,0.1058176653,0.7291286912,0.3791469194,4.012044183,10.70987881,,,
U.3.35,Unveg,Adams,None,40,14.84,40.34,25.5,39.84,25,0.5,5,1570.796327,209.416,0.1333183663,1.960784314,1.019607843,6.796622593,,,,
S.1.2,Seagrass,Adams,None,K1,15.83,40.41,24.58,39.81,23.98,0.6,2,628.3185307,41.406,0.06589969574,2.44100895,1.269324654,1.67296217,,,,
S.1.4,Seagrass,Adams,None,34,16.61,41.99,25.38,41.34,24.73,0.65,2,628.3185307,60.426,0.09617096591,2.56107171,1.331757289,2.561527697,,,,
S.1.6,Seagrass,Adams,None,2,16.3,41.05,24.75,40.69,24.39,0.36,2,628.3185307,65.436,0.1041446286,1.454545455,0.7563636364,1.575424199,,,,
S.1.8,Seagrass,Adams,None,R3,17.27,42.94,25.67,42.6,25.33,0.34,2,628.3185307,56.046,0.08919997941,1.324503311,0.6887417219,1.228714948,,,,
S.1.10,Seagrass,Adams,None,36,17.2,47.92,30.72,47.68,30.48,0.24,2,628.3185307,68.936,0.1097150516,0.78125,0.40625,0.891434794,,,,
S.1.20,Seagrass,Adams,None,20,13.66,41.72,28.06,41.53,27.87,0.19,10,3141.592654,303.356,0.09656121383,0.6771204562,0.3521026372,3.399945804,,,,
S.1.30,Seagrass,Adams,None,15,16.06,46.43,30.37,46.23,30.17,0.2,10,3141.592654,372.816,0.1186710185,0.6585446164,0.3424432005,4.063808339,15.39381795,,,
S.2.2,Seagrass,Adams,None,9,16.97,43.19,26.22,42.52,25.55,0.67,2,628.3185307,44.816,0.0713268793,2.555301297,1.328756674,1.895521338,,,,
S.2.4,Seagrass,Adams,None,17,15.69,34.27,18.58,33.51,17.82,0.76,2,628.3185307,44.516,0.07084941447,4.090419806,2.127018299,3.013960021,,,,
S.2.6,Seagrass,Adams,None,58,12.09,40.05,27.96,39.15,27.06,0.9,2,628.3185307,45.916,0.07307758367,3.21888412,1.673819742,2.446374046,,,,
S.2.8,Seagrass,Adams,None,28,15,44.65,29.65,44.11,29.11,0.54,2,628.3185307,55.946,0.08904082446,1.821247892,0.9470489039,1.686520304,,,,
S.2.10,Seagrass,Adams,None,46,16.14,49.73,33.59,49.31,33.17,0.42,2,628.3185307,62.926,0.1001498395,1.250372135,0.65019351,1.302335513,,,,
S.2.20,Seagrass,Adams,None,3,16.72,43.13,26.41,42.96,26.24,0.17,10,3141.592654,319.306,0.1016382565,0.6436955699,0.3347216963,3.402052963,,,,
S.2.30,Seagrass,Adams,None,10,16.95,44.57,27.62,44.31,27.36,0.26,10,3141.592654,340.376,0.1083450458,0.9413468501,0.4895003621,5.303493916,19.0502581,,,
S.2.40,Seagrass,Adams,None,41,15.95,52.99,37.04,52.52,36.57,0.47,10,3141.592654,400.116,0.1273608784,1.268898488,0.6598272138,8.403617356,,,,
S.2.50,Seagrass,Adams,None,108,15.64,49.96,34.32,49.76,34.12,0.2,10,3141.592654,367.866,0.1170953846,0.5827505828,0.303030303,3.548344988,,,,
S.3.2,Seagrass,Adams,None,136,15.52,42.5,26.98,41.72,26.2,0.78,2,628.3185307,42.396,0.06747532967,2.891030393,1.503335804,2.02876158,,,,
S.3.4,Seagrass,Adams,None,Q2,12.48,42.48,30,41.75,29.27,0.73,2,628.3185307,64.736,0.103030544,2.433333333,1.265333333,2.607359632,,,,
S.3.6,Seagrass,Adams,None,37,16.62,42.24,25.62,41.82,25.2,0.42,2,628.3185307,71.876,0.1143942069,1.639344262,0.8524590164,1.950327462,,,,
S.3.8,Seagrass,Adams,None,22,13.29,45.02,31.73,44.48,31.19,0.54,2,628.3185307,63.816,0.1015663185,1.701859439,0.8849669083,1.797656617,,,,
S.3.10,Seagrass,Adams,None,41,15.94,40.44,24.5,39.87,23.93,0.57,2,628.3185307,58.356,0.09287645859,2.326530612,1.209795918,2.24723121,,,,
S.3.20,Seagrass,Adams,None,48,16.19,44.36,28.17,43.85,27.66,0.51,10,3141.592654,278.516,0.08865439626,1.810436635,0.9414270501,8.346164675,,,,
S.3.30,Seagrass,Adams,None,29,16.59,40.66,24.07,40.21,23.62,0.45,10,3141.592654,302.296,0.09622380535,1.869547154,0.9721645201,9.354536956,28.33203813,,,
S.3.40,Seagrass,Adams,None,49,14.36,36.12,21.76,35.84,21.48,0.28,10,3141.592654,389.226,0.1238944838,1.286764706,0.6691176471,8.289998546,,,,
S.3.50,Seagrass,Adams,None,16,15.54,42.53,26.99,42.25,26.71,0.28,10,3141.592654,433.646,0.1380338089,1.037421267,0.5394590589,7.446358865,,,,
M.1.2,Mangrove,One Mile,Overlapping,6,15.48,43.95,28.47,43.36,27.88,0.59,2,628.3185307,89.196,0.141959843,2.072356867,1.077625571,3.059591138,,,,
M.1.4,Mangrove,One Mile,Overlapping,38,16.07,45.54,29.47,44.82,28.75,0.72,2,628.3185307,73.536,0.117036179,2.443162538,1.27044452,2.973759443,,,,
M.1.6,Mangrove,One Mile,Overlapping,K2,14.81,40.12,25.31,39.5,24.69,0.62,2,628.3185307,70.796,0.1126753335,2.449624654,1.27380482,2.870527659,,,,
M.1.8,Mangrove,One Mile,Overlapping,108,15.64,42.81,27.17,42.26,26.62,0.55,2,628.3185307,78.706,0.1252644895,2.024291498,1.052631579,2.637147148,,,,
M.1.10,Mangrove,One Mile,Overlapping,6,14.52,48.28,33.76,47.7,33.18,0.58,2,628.3185307,62.556,0.0995609662,1.718009479,0.8933649289,1.77888551,,,,
M.1.20 ,Mangrove,One Mile,Overlapping,16,16.35,42.18,25.83,41.77,25.42,0.41,10,3141.592654,369.436,0.1175951311,1.587301587,0.8253968254,9.70626479,,,,
M.1.30 ,Mangrove,One Mile,Overlapping,25,15.01,42.47,27.46,41.5,26.49,0.97,10,3141.592654,343.926,0.1094750459,3.532410779,1.836853605,20.10896328,43.13513897,,,
M.2.2,Mangrove,One Mile,Overlapping,C18,15.2,48.01,32.81,47.48,32.28,0.53,2,628.3185307,62.656,0.09972012114,1.61536117,0.8399878086,1.675273721,,,,
M.2.4,Mangrove,One Mile,Overlapping,49,14.41,47.97,33.56,47.22,32.81,0.75,2,628.3185307,71.956,0.1145215309,2.234803337,1.162097735,2.661704233,,,,
M.2.6,Mangrove,One Mile,Overlapping,18,13.96,54.07,40.11,53.05,39.09,1.02,2,628.3185307,69.946,0.1113225165,2.543006731,1.3223635,2.944176652,,,,
M.2.8,Mangrove,One Mile,Overlapping,2C.3,14.04,45.37,31.33,43.98,29.94,1.39,2,628.3185307,105.336,0.1676474509,4.436642196,2.307053942,7.735434247,,,,
M.2.10,Mangrove,One Mile,Overlapping,14,15.77,45.27,29.5,44.74,28.97,0.53,2,628.3185307,48.416,0.07705645725,1.796610169,0.9342372881,1.439780313,,,,
M.2.20 ,Mangrove,One Mile,Overlapping,30,14.98,42.33,27.35,41.52,26.54,0.81,10,3141.592654,323.406,0.1029433271,2.961608775,1.540036563,15.85364876,,,,
M.2.30 ,Mangrove,One Mile,Overlapping,21,14.98,38.72,23.74,37.41,22.43,1.31,10,3141.592654,347.216,0.1105222854,5.51811289,2.869418703,31.71347129,64.02348921,,,
M.3.2,Mangrove,One Mile,Overlapping,5,13.71,40.21,26.5,39.65,25.94,0.56,2,628.3185307,62.996,0.100261248,2.113207547,1.098867925,2.203477389,,,,
M.3.4,Mangrove,One Mile,Overlapping,C16,15.4,38.85,23.45,38.17,22.77,0.68,2,628.3185307,75.966,0.1209036441,2.89978678,1.507889126,3.646185803,,,,
M.3.6,Mangrove,One Mile,Overlapping,46,16.16,47.06,30.9,46.05,29.89,1.01,2,628.3185307,73.416,0.116845193,3.268608414,1.699676375,3.971980283,,,,
M.3.8,Mangrove,One Mile,Overlapping,12,16.1,42.07,25.97,41.29,25.19,0.78,2,628.3185307,70.376,0.1120068828,3.003465537,1.561802079,3.498651648,,,,
M.3.10,Mangrove,One Mile,Overlapping,19,14.55,44.88,30.33,44.24,29.69,0.64,2,628.3185307,70.166,0.1116726574,2.110121991,1.097263436,2.450686474,,,,
M.3.20,Mangrove,One Mile,Overlapping,37,15.54,45.73,30.19,44.52,28.98,1.21,10,3141.592654,322.606,0.1026886791,4.007949652,2.084133819,21.4016949,,,,
M.3.30 ,Mangrove,One Mile,Overlapping,34,16.61,52.73,36.12,52.17,35.56,0.56,10,3141.592654,491.966,0.1565976415,1.550387597,0.8062015504,12.62492613,49.79760263,,,
M.3.40,Mangrove,One Mile,Overlapping,13,14.84,33.87,19.03,32.99,18.15,0.88,10,3141.592654,313.966,0.09993848173,4.624277457,2.404624277,24.03144994,,,,
UM.1.2,Unveg,One Mile,Overlapping,2,14.66,50.17,35.51,49.98,35.32,0.19,2,628.3185307,57.826,0.09203293739,0.5350605463,0.2782314841,0.5121292151,,,,
UM.1.4,Unveg,One Mile,Overlapping,20,15.06,47.62,32.56,47.48,32.42,0.14,2,628.3185307,90.026,0.1432808291,0.42997543,0.2235872236,0.6407152553,,,,
UM.1.6,Unveg,One Mile,Overlapping,12,15.03,51.8,36.77,51.64,36.61,0.16,2,628.3185307,86.166,0.1371374483,0.4351373402,0.2262714169,0.6206056946,,,,
UM.1.8,Unveg,One Mile,Overlapping,4,14.51,45.75,31.24,45.59,31.08,0.16,2,628.3185307,77.006,0.1225588555,0.5121638924,0.2663252241,0.6528102929,,,,
UM.1.10,Unveg,One Mile,Overlapping,13,14.85,49.54,34.69,49.37,34.52,0.17,2,628.3185307,81.896,0.1303415322,0.4900547708,0.2548284808,0.6642946928,,,,
UM.1.20,Unveg,One Mile,Overlapping,R5,13.85,44.52,30.67,44.33,30.48,0.19,10,3141.592654,400.446,0.1274659207,0.6194978807,0.3221388979,4.106173121,,,,
UM.1.30,Unveg,One Mile,Overlapping,17,15.71,41.94,26.23,41.81,26.1,0.13,10,3141.592654,438.406,0.139548964,0.4956157072,0.2577201677,3.59645824,10.79318651,,,
UM.2.2,Unveg,One Mile,Overlapping,7,11.88,38.65,26.77,38.51,26.63,0.14,2,628.3185307,80.046,0.1273971657,0.5229734778,0.2719462084,0.6929035238,,,,
UM.2.4,Unveg,One Mile,Overlapping,9,16.03,42.04,26.01,41.91,25.88,0.13,2,628.3185307,57.666,0.09177828948,0.4998077662,0.2599000384,0.4770636193,,,,
UM.2.6,Unveg,One Mile,Overlapping,N10,17.29,39.36,22.07,39.22,21.93,0.14,2,628.3185307,88.526,0.1408935049,0.6343452651,0.3298595378,0.9295013283,,,,
UM.2.8,Unveg,One Mile,Overlapping,8,15.48,42.06,26.58,41.92,26.44,0.14,2,628.3185307,97.966,0.1559177315,0.5267118134,0.273890143,0.8540865957,,,,
UM.2.10,Unveg,One Mile,Overlapping,11,17.58,45.88,28.3,45.57,27.99,0.31,2,628.3185307,67.906,0.1080757557,1.09540636,0.5696113074,1.23122345,,,,
UM.2.20,Unveg,One Mile,Overlapping,17,16.97,41.04,24.07,40.92,23.95,0.12,10,3141.592654,413.856,0.1317344563,0.4985459078,0.259243872,3.415135052,,,,
UM.2.30 ,Unveg,One Mile,Overlapping,48,17.06,57.38,40.32,57.17,40.11,0.21,10,3141.592654,389.616,0.1240186246,0.5208333333,0.2708333333,3.35883775,10.95875132,,,
UM.3.2,Unveg,One Mile,Overlapping,50,14.7,42.4,27.7,42.26,27.56,0.14,2,628.3185307,78.536,0.1249939261,0.5054151625,0.2628158845,0.6570077849,,,,
UM.3.4,Unveg,One Mile,Overlapping,1,16.36,40.9,24.54,40.77,24.41,0.13,2,628.3185307,82.046,0.1305802646,0.5297473513,0.2754686227,0.7194153128,,,,
UM.3.6,Unveg,One Mile,Overlapping,26,14.64,41.37,26.73,41.23,26.59,0.14,2,628.3185307,94.056,0.1496947733,0.5237560793,0.2723531612,0.8153968945,,,,
UM.3.8,Unveg,One Mile,Overlapping,44,16.67,47.67,31,47.52,30.85,0.15,2,628.3185307,85.446,0.1359915327,0.4838709677,0.2516129032,0.684344487,,,,
UM.3.10,Unveg,One Mile,Overlapping,81,16.17,55.98,39.81,55.76,39.59,0.22,2,628.3185307,88.646,0.1410844909,0.5526249686,0.2873649837,0.8108548482,,,,
UM.3.20 ,Unveg,One Mile,Overlapping,40,14.85,40.14,25.29,39.96,25.11,0.18,10,3141.592654,402.606,0.12815347,0.7117437722,0.3701067616,4.743046578,,,,
UM.3.30 ,Unveg,One Mile,Overlapping,13,15.14,45.04,29.9,44.87,29.73,0.17,10,3141.592654,402.176,0.1280165968,0.5685618729,0.2956521739,3.784838514,12.21490442,,,
UM.3.37,Unveg,One Mile,Overlapping,42,14.82,51.94,37.12,51.73,36.91,0.21,7,2199.114858,310.846,0.141350507,0.5657327586,0.2941810345,2.910784686,,,,
SU.1.2,Seagrass,Myora,Nearby,18,16.15,42.32,26.17,41.91,25.76,0.41,2,628.3185307,60.866,0.09687124766,1.566679404,0.81467329,1.578368361,,,,
SU.1.4,Seagrass,Myora,Nearby,1,16.33,42.08,25.75,41.63,25.3,0.45,2,628.3185307,72.586,0.115524207,1.747572816,0.9087378641,2.099624422,,,,
SU.1.6,Seagrass,Myora,Nearby,6,14.51,42.83,28.32,42.42,27.91,0.41,2,628.3185307,73.456,0.116908855,1.447740113,0.7528248588,1.760237845,,,,
SU.1.8,Seagrass,Myora,Nearby,18,13.96,49.07,35.11,48.56,34.6,0.51,2,628.3185307,76.016,0.1209832215,1.452577613,0.7553403589,1.8276702,,,,
SU.1.10,Seagrass,Myora,Nearby,17,15.69,53.74,38.05,53.29,37.6,0.45,2,628.3185307,72.356,0.1151581506,1.182654402,0.6149802891,1.416399855,,,,
SU.1.20,Seagrass,Myora,Nearby,12,15.02,44.2,29.18,43.89,28.87,0.31,10,3141.592654,380.786,0.1212079483,1.062371487,0.5524331734,6.695929153,,,,
SU.1.30,Seagrass,Myora,Nearby,10,17.29,41.67,24.38,41.33,24.04,0.34,10,3141.592654,401.126,0.1276823714,1.394585726,0.7251845775,9.259328656,24.63755849,,,
SU.1.40,Seagrass,Myora,Nearby,10,17.27,55.93,38.66,55.51,38.24,0.42,10,3141.592654,371.406,0.1182222016,1.086394206,0.5649249871,6.67866757,,,,
SU.1.50,Seagrass,Myora,Nearby,19,14.51,48.23,33.72,47.99,33.48,0.24,10,3141.592654,399.316,0.1271062305,0.7117437722,0.3701067616,4.704287535,,,,
SU.1.60,Seagrass,Myora,Nearby,14,15.75,35.24,19.49,35.12,19.37,0.12,10,3141.592654,392.136,0.1248207655,0.6157003592,0.3201641868,3.996313889,,,,
SU.1.71,Seagrass,Myora,Nearby,9,16.01,40.92,24.91,40.64,24.63,0.28,11,3455.751919,478.716,0.138527305,1.124046568,0.5845042152,8.906677304,,,,
SU.2.2,Seagrass,Myora,Nearby,49,14.39,42.67,28.28,42.25,27.86,0.42,2,628.3185307,66.136,0.1052587132,1.485148515,0.7722772277,1.625778144,,,,
SU.2.4,Seagrass,Myora,Nearby,6,15.45,42.24,26.79,41.86,26.41,0.38,2,628.3185307,85.216,0.1356254763,1.418439716,0.7375886525,2.000716246,,,,
SU.2.6,Seagrass,Myora,Nearby,14,15.75,46.84,31.09,46.33,30.58,0.51,2,628.3185307,82.676,0.1315829408,1.640398842,0.8530073979,2.244824438,,,,
SU.2.8,Seagrass,Myora,Nearby,2,14.65,47.95,33.3,47.52,32.87,0.43,2,628.3185307,86.126,0.1370737863,1.291291291,0.6714714715,1.84082274,,,,
SU.2.10,Seagrass,Myora,Nearby,9,16.03,51.04,35.01,50.56,34.53,0.48,2,628.3185307,82.596,0.1314556168,1.371036847,0.7129391602,1.874397141,,,,
SU.2.20,Seagrass,Myora,Nearby,23,15.36,42.37,27.01,42.02,26.66,0.35,10,3141.592654,392.746,0.1250149346,1.295816364,0.6738245094,8.423812695,,,,
SU.2.30,Seagrass,Myora,Nearby,C29,14.85,42.63,27.78,42.28,27.43,0.35,10,3141.592654,403.136,0.1283221743,1.259899208,0.6551475882,8.406996299,26.4173477,,,
SU.2.40,Seagrass,Myora,Nearby,6,14.49,53.07,38.58,52.38,37.89,0.69,10,3141.592654,415.266,0.1321832732,1.788491446,0.9300155521,12.29324998,,,,
SU.2.50,Seagrass,Myora,Nearby,R5,13.83,47.4,33.57,47.01,33.18,0.39,10,3141.592654,398.826,0.1269502587,1.161751564,0.6041108132,7.6692024,,,,
SU.2.56,Seagrass,Myora,Nearby,13,15.13,37.45,22.32,37.24,22.11,0.21,6,1884.955592,242.246,0.1285154945,0.9408602151,0.4892473118,3.772551612,,,,
SU.3.2,Seagrass,Myora,Nearby,48,17.04,41.25,24.21,40.81,23.77,0.44,2,628.3185307,90.866,0.1446177306,1.817430814,0.9450640231,2.733460286,,,,
SU.3.4,Seagrass,Myora,Nearby,5,13.69,48.04,34.35,47.49,33.8,0.55,2,628.3185307,74.176,0.1180547706,1.601164483,0.8326055313,1.9658611,,,,
SU.3.6,Seagrass,Myora,Nearby,41,15.95,40.21,24.26,39.82,23.87,0.39,2,628.3185307,75.696,0.1204739257,1.607584501,0.8359439406,2.014188964,,,,
SU.3.8,Seagrass,Myora,Nearby,7,11.91,41.65,29.74,41.22,29.31,0.43,2,628.3185307,69.016,0.1098423755,1.445864156,0.7518493611,1.651698397,,,,
SU.3.10,Seagrass,Myora,Nearby,57,13.33,43.17,29.84,42.75,29.42,0.42,2,628.3185307,84.076,0.13381111,1.407506702,0.7319034853,1.958736355,,,,
SU.3.20,Seagrass,Myora,Nearby,22,13.28,41.53,28.25,41.2,27.92,0.33,10,3141.592654,381.986,0.1215899202,1.168141593,0.6074336283,7.385780638,,,,
SU.3.30,Seagrass,Myora,Nearby,125,15.18,44.32,29.14,43.94,28.76,0.38,10,3141.592654,394.786,0.1256642867,1.304049417,0.6781056966,8.521366869,26.23109261,,,
SU.3.40,Seagrass,Myora,Nearby,81,16.12,43.08,26.96,42.72,26.6,0.36,10,3141.592654,380.726,0.1211888497,1.335311573,0.6943620178,8.414893423,,,,
SU.3.50,Seagrass,Myora,Nearby,2,14.65,39.02,24.37,38.76,24.11,0.26,10,3141.592654,387.656,0.1233947372,1.066885515,0.5547804678,6.845699005,,,,
SU.3.54,Seagrass,Myora,Nearby,6,15.44,34.84,19.4,34.64,19.2,0.2,4,1256.637061,245.436,0.1953117631,1.030927835,0.5360824742,4.188128528,,,,
MU.1.2,Mangrove,Myora,Nearby,38,16.07,41.77,25.7,40.93,24.86,0.84,2,628.3185307,79.496,0.1265218136,3.26848249,1.699610895,4.300757055,,,,
MU.1.4,Mangrove,Myora,Nearby,108,15.63,41.61,25.98,40.63,25,0.98,2,628.3185307,83.256,0.1325060394,3.77213241,1.961508853,5.198235388,,,,
MU.1.6,Mangrove,Myora,Nearby,105,14.82,39.77,24.95,38.81,23.99,0.96,2,628.3185307,67.746,0.1078211077,3.847695391,2.000801603,4.314572905,,,,
MU.1.8,Mangrove,Myora,Nearby,M12,14.03,35.48,21.45,34.49,20.46,0.99,2,628.3185307,62.116,0.09886068445,4.615384615,2.4,4.745312854,,,,
MU.1.10,Mangrove,Myora,Nearby,50,14.69,41.63,26.94,40.66,25.97,0.97,2,628.3185307,70.226,0.1117681503,3.600593912,1.872308834,4.185289906,,,,
MU.1.20,Mangrove,Myora,Nearby,69,15.84,39.22,23.38,37.91,22.07,1.31,10,3141.592654,286.986,0.091350481,5.603079555,2.913601369,26.61588865,,,,
MU.1.30,Mangrove,Myora,Nearby,13,15.14,47.7,32.56,47.26,32.12,0.44,10,3141.592654,344.986,0.1098124544,1.351351351,0.7027027027,7.716550849,57.0766076,,,
MU.1.44.5,Mangrove,Myora,Nearby,20,15.06,46.77,31.71,46.43,31.37,0.34,14.5,4555.309348,591.866,0.129928827,1.072216966,0.5575528225,10.50411671,,,,
MU.2.2,Mangrove,Myora,Nearby,R5,13.85,24.89,11.04,23.04,9.19,1.85,2,628.3185307,31.846,0.05068448318,16.75724638,8.713768116,8.83305667,,,,
MU.2.4,Mangrove,Myora,Nearby,19,14.53,33.6,19.07,31.86,17.33,1.74,2,628.3185307,32.146,0.05116194801,9.124278972,4.744625066,4.854885218,,,,
MU.2.6,Mangrove,Myora,Nearby,44,16.67,40.71,24.04,39.07,22.4,1.64,2,628.3185307,38.126,0.0606794136,6.821963394,3.547420965,4.305108479,,,,
MU.2.8,Mangrove,Myora,Nearby,20,15.06,43.08,28.02,41.62,26.56,1.46,2,628.3185307,48.036,0.07645166846,5.210563883,2.709493219,4.142905546,,,,
MU.2.10,Mangrove,Myora,Nearby,12,16.08,37.15,21.07,35.97,19.89,1.18,2,628.3185307,52.916,0.08421842969,5.600379687,2.912197437,4.905213902,,,,
MU.2.20,Mangrove,Myora,Nearby,40,14.83,45.66,30.83,44.21,29.38,1.45,10,3141.592654,271.836,0.08652808622,4.703211158,2.445669802,21.16191275,,,,
MU.2.30,Mangrove,Myora,Nearby,30,14.95,47.06,32.11,46.08,31.13,0.98,10,3141.592654,343.336,0.1092872431,3.05200872,1.587044534,17.34437218,65.54745475,,,
MU.2.40,Mangrove,Myora,Nearby,18,13.96,44.26,30.3,43.79,29.83,0.47,10,3141.592654,393.026,0.1251040613,1.551155116,0.8066006601,10.09090184,,,,
MU.2.45,Mangrove,Myora,Nearby,22,13.28,40.59,27.31,40.14,26.86,0.45,5,1570.796327,215.686,0.1373099722,1.647748078,0.8568290004,5.882558312,,,,
MU.3.2,Mangrove,Myora,Nearby,26,14.62,38.43,23.81,37.42,22.8,1.01,2,628.3185307,62.066,0.09878110698,4.241915162,2.205795884,4.357819184,,,,
MU.3.4,Mangrove,Myora,Nearby,90,14.52,40.37,25.85,39.1,24.58,1.27,2,628.3185307,67.096,0.1067866006,4.912959381,2.554738878,5.456237605,,,,
MU.3.6,Mangrove,Myora,Nearby,13,14.86,30.68,15.82,30.07,15.21,0.61,2,628.3185307,58.266,0.09273321914,3.855878635,2.00505689,3.718707599,,,,
MU.3.8,Mangrove,Myora,Nearby,46,16.15,35.44,19.29,34.54,18.39,0.9,2,628.3185307,52.546,0.0836295564,4.66562986,2.426127527,4.057919377,,,,
MU.3.10,Mangrove,Myora,Nearby,16,15.53,41.92,26.39,40.54,25.01,1.38,2,628.3185307,73.776,0.1174181508,5.229253505,2.719211823,6.385696478,,,,
MU.3.20,Mangrove,Myora,Nearby,50,15.37,46.41,31.04,44.85,29.48,1.56,10,3141.592654,270.406,0.08607290308,5.025773196,2.613402062,22.49431024,,,,
MU.3.30,Mangrove,Myora,Nearby,8,15.48,38.65,23.17,37.8,22.32,0.85,10,3141.592654,313.366,0.09974749579,3.668536901,1.907639189,19.02822319,65.49891368,,,
MU.3.40,Mangrove,Myora,Nearby,26,14.61,34.44,19.83,34.14,19.53,0.3,10,3141.592654,374.166,0.1191007369,1.512859304,0.7866868381,9.369498211,,,,
Z.1.2,Seagrass,One Mile,Overlapping,58,12.05,47.26,35.21,47.04,34.99,0.22,2,628.3185307,62.566,0.09957688169,0.6248224936,0.3249076967,0.6470659055,,,,
